"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
3,"lp",1.00110209914366,1367.53971703282,1397.2645641755,TRUE,"spatial",10000,5001,10,2000,5,0,500
4,"tau_B_sq",1.00186290213401,1654.61269227277,2068.17541876877,TRUE,"spatial",10000,5001,10,2000,5,0,500
4,"sigma_sq",1.00122933258568,1791.07431122838,2085.23363778666,TRUE,"spatial",10000,5001,10,2000,5,0,500
4,"eff_range",1.00145131987547,1584.46973318864,1653.32388096131,TRUE,"spatial",10000,5001,10,2000,5,0,500
4,"lp",1.00301886302209,1161.21950585545,1261.79104814788,TRUE,"spatial",10000,5001,10,2000,5,0,500
5,"tau_B_sq",1.001972786068,1785.73362702513,2088.21461015435,TRUE,"spatial",10000,5001,10,2000,5,0,500
5,"sigma_sq",1.00233372782216,1656.13044298598,2473.43636829489,TRUE,"spatial",10000,5001,10,2000,5,0,500
5,"eff_range",1.00255231202298,1530.1954154886,1962.57528804316,TRUE,"spatial",10000,5001,10,2000,5,0,500
5,"lp",1.0015276458502,1341.24297630474,1567.19980076803,TRUE,"spatial",10000,5001,10,2000,5,0,500
1,"tau_B_sq",1.00097298936769,4077.57359928189,3833.22008408316,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
1,"lp",1.0017117653177,2695.39590531612,3181.55779116053,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
2,"tau_B_sq",1.00186354644121,3719.15423854309,3666.38055220203,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
2,"lp",1.00226240290265,2927.13749614821,2936.78804529255,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
3,"tau_B_sq",1.0006620917214,3907.91651581473,3977.76480127057,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
3,"lp",1.00090680891496,2902.42036639942,3027.0385569233,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
4,"tau_B_sq",1.00339751118991,3890.84019158138,4087.12912270825,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
4,"lp",1.00299572511893,2813.02483091538,2559.11762181535,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
5,"tau_B_sq",1.00149236186864,3878.62245559319,4054.83484607722,TRUE,"nonspatial",10000,5001,10,2000,5,0,500
